"server=,"
DDR4 32gb PC4 2133p 2400T ecc reg Samsung Hynix Micron HP,2 549 грн.,"Киев, Дарницкий",https://www.olx.ua/obyavlenie/ddr4-32gb-pc4-2133p-2400t-ecc-reg-samsung-hynix-micron-hp-IDK9hAJ.html?sd=1#47cd2a4ee7
Материнская плата + процессор 4ядра,1 400 грн.,"Днепр, Шевченковский",https://www.olx.ua/obyavlenie/materinskaya-plata-protsessor-4yadra-IDKqSvD.html?sd=1#47cd2a4ee7
Вентелятор кулер,100 грн.,Владимир-Волынский,https://www.olx.ua/obyavlenie/ventelyator-kuler-IDDSc5B.html?sd=1#47cd2a4ee7
Каркас Стійка Корпус Рамка для Майнинг Ферми Відеокарт Riser RX570 580,499 грн.,"Львов, Галицкий",https://www.olx.ua/obyavlenie/karkas-styka-korpus-ramka-dlya-mayning-fermi-vdeokart-riser-rx570-580-IDwAo6e.html?sd=1#47cd2a4ee7;promoted
Медный водоблок для процессора + крепление intel amd,300 грн.,"Киев, Соломенский",https://www.olx.ua/obyavlenie/mednyy-vodoblok-dlya-protsessora-kreplenie-intel-amd-IDKqStL.html?sd=1#47cd2a4ee7
Видеокарта Quadro FX380,200 грн.,"Киев, Дарницкий",https://www.olx.ua/obyavlenie/videokarta-quadro-fx380-IDJSfYH.html?sd=1#47cd2a4ee7
Видеокарта ASUS Geforce GTX 1060 6gb відеокарта,6 000 грн.,Хмельницкий,https://www.olx.ua/obyavlenie/videokarta-asus-geforce-gtx-1060-6gb-vdeokarta-IDKqStl.html?sd=1#47cd2a4ee7
Гарнитура для ПК,300 грн.,Чернигов,https://www.olx.ua/obyavlenie/garnitura-dlya-pk-IDKqSt3.html?sd=1#47cd2a4ee7
Куллер deep cool frostwin v2,900 грн.,Тернополь,https://www.olx.ua/obyavlenie/kuller-deep-cool-frostwin-v2-IDKqSsZ.html?sd=1#47cd2a4ee7
GTX 1080 TI MSI Gaming X,11 200 грн.,Смела,https://www.olx.ua/obyavlenie/gtx-1080-ti-msi-gaming-x-IDKqSrP.html?sd=1#47cd2a4ee7
"Процесор Intel Xeon E3-1220v2 (3450) s1155 - 4 ядра, 4 потока - Обмен",1 250 грн.,"Киев, Святошинский",https://www.olx.ua/obyavlenie/protsesor-intel-xeon-e3-1220v2-3450-s1155-4-yadra-4-potoka-obmen-IDKqSs6.html?sd=1#47cd2a4ee7
Продам новую материнскую плату,2 000 грн.,"Харьков, Московский",https://www.olx.ua/obyavlenie/prodam-novuyu-materinskuyu-platu-IDKqSoo.html?sd=1#47cd2a4ee7
Samsung HD103SJ 1000Gb,680 грн.,"Киев, Печерский",https://www.olx.ua/obyavlenie/samsung-hd103sj-1000gb-IDKpE6N.html?sd=1#47cd2a4ee7;promoted
"Продам 4 ядерный 8 потоков процессор intel core i7 920 2,66 GHz",250 грн.,Луцк,https://www.olx.ua/obyavlenie/prodam-4-yadernyy-8-potokov-protsessor-intel-core-i7-920-2-66-ghz-IDHPmXw.html?sd=1#47cd2a4ee7
Корпус компьютерный Slim Desktop с блоком питания ATX и mini ITX,480 грн.,Белая Церковь,https://www.olx.ua/obyavlenie/korpus-kompyuternyy-slim-desktop-s-blokom-pitaniya-atx-i-mini-itx-IDFS5yz.html?sd=1#47cd2a4ee7
Лоток под SSD для Apple Mac Pro,800 грн.,Алексеевка,https://www.olx.ua/obyavlenie/lotok-pod-ssd-dlya-apple-mac-pro-IDz4qCo.html?sd=1#47cd2a4ee7
"Новый райзер Riser 6pin Molex,Sata PCI-E 12v USB 3.0",320 грн.,"Киев, Соломенский",https://www.olx.ua/obyavlenie/novyy-rayzer-riser-6pin-molex-sata-pci-e-12v-usb-3-0-IDK7v1Q.html?sd=1#47cd2a4ee7;promoted
Оперативна пам’ять 4Гб DDR3 1333 Transcend,300 грн.,"Винница, Замостянский",https://www.olx.ua/obyavlenie/operativna-pamyat-4gb-ddr3-1333-transcend-IDKqSpE.html?sd=1#47cd2a4ee7
Intel Core I7-3540M,900 грн.,Свалява,https://www.olx.ua/obyavlenie/intel-core-i7-3540m-IDKqSoW.html?sd=1#47cd2a4ee7
Ноутбук HP-ProBook 4510 под разборку,900 грн.,Котовск,https://www.olx.ua/obyavlenie/noutbuk-hp-probook-4510-pod-razborku-IDaJbZ3.html#47cd2a4ee7
Материнская плата ам3+,1 200 грн.,Токмак,https://www.olx.ua/obyavlenie/materinskaya-plata-am3-IDKpFTU.html?sd=1#47cd2a4ee7;promoted
Seagate Barracuda 160Gb,100 грн.,"Винница, Замостянский",https://www.olx.ua/obyavlenie/seagate-barracuda-160gb-IDKqSoi.html?sd=1#47cd2a4ee7
Хлам Жорстких Дискив витдам 7шт за символичних 150 грв,150 грн.,Черновцы,https://www.olx.ua/obyavlenie/hlam-zhorstkih-diskiv-vitdam-7sht-za-simvolichnih-150-grv-IDKcujv.html?sd=1#ad66db447d
